record_id,municipality_name,construction_cost,units,fees,square_feet,volume
10010579,EDISON,403200,1,5687,3681,63356
10010601,EDISON,1094000,1,7254,6011,80818
10010611,EDISON,543000,1,6016,3808,28272
10010901,EDISON,202800,1,5398,4441,42308
10010913,EDISON,168000,1,4777,3051,43449
10010963,EDISON,168000,1,3992,2566,28851
10011017,EDISON,168000,1,3762,2566,28851
10011060,EDISON,600000,1,6465,4765,79945
10011089,EDISON,215000,1,5381,3168,52079
10011107,EDISON,214700,1,4771,2744,43683
10011203,EDISON,10000,1,5418,4480,130906
10011221,EDISON,418000,1,6355,4751,78125
10011397,EDISON,217000,1,6066,4265,78667
10011399,EDISON,217000,1,5859,4091,73331
10011673,EDISON,314300,1,4419,2632,38844
10011754,EDISON,160000,1,5601,1025,356
10011874,EDISON,226000,1,5696,3725,66
10011920,EDISON,636000,1,7203,5266,99287
10011931,EDISON,242200,1,7855,2010,32160
10012089,EDISON,266000,1,5298,3556,64132
10012149,EDISON,29800,1,510,500,6000
10012283,EDISON,267000,1,5373,3616,64132
10012304,EDISON,552000,1,7373,4583,90373
10012325,EDISON,168000,1,4017,2567,28851
10012344,EDISON,800000,1,8976,4779,81904
10012377,EDISON,295000,1,9248,6947,89080
10012516,EDISON,217000,1,6407,4303,75098
10012586,EDISON,362500,1,6227,4521,54560
10012655,EDISON,298500,1,6226,3695,54408
10012808,EDISON,212000,1,5177,3615,58819
10012909,EDISON,370775,1,6802,4012,83647
10012912,EDISON,240000,1,3947,3276,36344
10012914,EDISON,282500,1,5768,4131,72794
10012932,EDISON,209000,1,4813,2344,40365
10012935,EDISON,17000,1,352,400,3920
10012949,EDISON,202300,1,5206,3262,51426
10012954,EDISON,705000,1,6429,4600,32528
10013223,EDISON,217000,1,5722,3665,65540
10013272,EDISON,681000,1,4812,4578,45776
10013334,EDISON,398700,1,6228,3893,70072
10013340,EDISON,223000,1,5930,7385,67694
10014049,EDISON,172000,1,3416,3093,33902
10014065,EDISON,205500,1,6026,5048,74533
10014070,EDISON,249500,1,5819,4615,69466
10014358,EDISON,267000,1,5655,3698,64965
10014459,EDISON,357200,1,5392,3617,63356
10014532,EDISON,220700,1,8172,4118,90859
10014576,EDISON,217000,1,5166,2676,44333
10014726,EDISON,574000,1,5368,4069,55223
10014884,EDISON,416500,1,6577,4851,83375
10014936,EDISON,217000,1,6121,4104,74173
10015244,EDISON,267000,1,6386,4378,76478
10015310,EDISON,239500,1,5014,3556,66123
10015932,EDISON,239500,1,5285,3625,69625
10016029,EDISON,385500,1,5955,4085,72609
10016129,EDISON,416000,1,5942,4490,77541
10016138,EDISON,172000,1,3941,3298,40456
10016310,EDISON,349000,1,5375,3874,68976
10016371,EDISON,642500,1,7329,5366,100976
10016400,EDISON,542000,1,4346,3121,53881
10016455,EDISON,202200,1,4088,2863,48121
10016458,EDISON,202200,1,4296,3019,52856
10016774,EDISON,53000,1,1329,576,27234
10016816,EDISON,246000,1,4484,3599,32395
10016876,EDISON,280500,1,7402,5027,87239
10016894,EDISON,340500,1,6371,9203,82829
10016895,EDISON,302000,1,8834,5649,109775
10017042,EDISON,331500,1,4697,4334,41260
10017045,EDISON,250500,1,5897,4945,64505
10017198,EDISON,232000,1,5179,3549,87438
10017379,EDISON,642500,1,7224,5015,94006
10017457,EDISON,602000,1,7465,4981,99190
10017461,EDISON,169540,1,5046,1378,17914
15220100,EDISON,299000,2,5212,2904,52481
15282100,EDISON,250000,1,4054,2224,37930
15282800,EDISON,5392200,20,79370,42788,481189
15467800,EDISON,342000,1,5721,4126,60352
15476200,EDISON,129700,1,4648,3425,40256
15537300,EDISON,297000,1,5549,3969,68425
15537400,EDISON,307000,1,5978,4539,79557
15537500,EDISON,307000,1,5965,4258,79174
15550700,EDISON,293400,1,5782,4125,63084
15553600,EDISON,264400,1,5922,3286,69806
